Accel Partners,1983,Palo Alto,CA
Advanced Technology Ventures,1979,Palo Alto,CA
Andreessen Horowitz,2009,Menlo Park,CA
Atlas Venture,1980,Cambridge,MA
Austin Ventures,1984,Austin,TX
Azure Capital Partners,2000,San Francisco,CA
Bain Capital Ventures,1984,Boston,MA
Battery Ventures,1983,Menlo Park,CA
Benchmark,1995,Menlo Park,CA
Bessemer Venture Partners,2005,Menlo Park,CA
Black Coral Capital,,Boston,MA
Brooklyn Bridge Ventures,,Brooklyn,NY
Brooklyn Ventures,2009,Breukelen,
Caldera Investment Group,,Chicago,IL
Canaan Partners,1987,Menlo Park,CA
Charles River Ventures,1970,Cambridge,MA
Clearstone Venture Partners,1998,Santa Monica,CA
Contour Venture Partners,2005,New York,NY
Crosslink Capital,1989,San Francisco,CA
DAG Ventures,,Palo Alto,CA
DCM,1996,Menlo Park,CA
Draper Fisher Jurvetson (DFJ),1985,Menlo Park,CA
Elevation Partners,,New York,NY
Felicis Ventures,2005,Palo Alto,CA
Fenox Venture Capital,,San Jose,CA
Fidelity Ventures,1969,Boston,MA
First Round Capital,2004,San Francisco,PA
FirstMark Capital,2008,New York,NY
Flybridge Capital Partners,2001,Boston,MA
Foundation Capital,1995,Menlo Park,CA
GGV Capital,2000,Menlo Park,CA
Galen Partners,,,
General Catalyst Partners,2000,Cambridge,MA
Geneva Venture Partners,,,
Google Ventures,2009,Mountain View,CA
Granite Ventures,1992,San Francisco,CA
Gray Ghost Ventures,2003,Atlanta,GA
Great Oaks Venture Capital,,New York,NY
Greycroft Partners,2006,New York,NY
Greylock Partners,1965,Menlo Park,CA
Grotech Ventures,1984,Vienna,VA
Harris & Harris Group,1983,New York,NY
Harrison Metal Capital,2008,Palo Alto,CA
Hercules Technology Growth Capital,2003,Palo Alto,CA
Highland Capital Partners,1988,Menlo Park,CA
IA Ventures,2010,New York,NY
IDG Ventures,2006,Beijing,
In-Q-Tel,1999,Arlington,VA
Incubic Venture Fund,,Menlo Park,CA
Index Ventures,1996,London,
Insight Venture Partners,1995,New York,NY
Intel Capital,1991,Santa Clara,CA
Internet Capital Group,1996,Radnor,PA
JMI Equity,1992,Baltimore,MD
Jafco Ventures,2003,Palo Alto,CA
Khosla Ventures,,Menlo Park,CA
Kleiner Perkins Caufield & Byers,1972,Menlo Park,CA
Lerer Ventures,,New York,NY
Lightspeed Venture Partners,2000,Menlo Park,CA
Lux Capital,2000,New York,NY
Matrix Partners,1977,Palo Alto,CA
Maveron,1998,Seattle,WA
Mayfield Fund,1969,Menlo Park,CA
Menlo Ventures,1976,Menlo Park,CA
Meritech Capital Partners,1999,Palo Alto,CA
Mohr Davidow Ventures,1983,Menlo Park,
Morgenthaler Ventures,1968,"Menlo Park,",CA
New Enterprise Associates,1978,Menlo Park,CA
Nexit Ventures,,Helsinki,
Norwest Venture Partners,1961,Palo Alto,CA
Oak Investment Partners,1978,Greenwich,CT
OpenView Venture Partners,2006,Boston,MA
Point Judith Capital,2001,Boston,MA
Polaris Partners,1996,Waltham,MA
Quantum Capital Fund,2004,Santa Carla,CA
Quicksilver Ventures,,Saratoga,CA
RRE Ventures,1994,New York,NY
Radius Ventures,1997,New York,NY
Redpoint Ventures,1999,Menlo Park,CA
Revolution Ventures,,San Diego,CA
Rho Capital Partners,1981,New York,NY
SAP Ventures,,Palo Alto,CA
Sante Ventures,2006,Austin,TX
Sequoia Capital,1972,Menlo Park,CA
Sevin Rosen Funds,1981,Dallas,TX
Sierra Ventures,,Menlo Park,CA
Sofinnova Ventures,1974,Menlo Park,CA
SoftTech VC,2004,Palo Alto,CA
Spark Capital,2007,Boston,MA
TechStars,2006,Boulder,CO
Tenaya Capital,2009,Woodside,CA
Founders Fund,2005,San Francisco,CA
Trinity Ventures,2007,Menlo Park,CA
True Ventures,2007,Palo Alto,CA
US Venture Partners,1981,Menlo Park,CA
Union Square Ventures,2004,New York,NY
VantagePoint Capital Partners,2005,San Bruno,CA
Venrock,1969,Palo Alto,CA
Village Ventures,1999,Williamstown,MA
Western Technology Investment,1980,Portola Valley,CA
Y Combinator,2005,Mountain View,CA
ff Venture Capital,1999,New York,NY
SV Angel,2009,San Francisco,CA
